estrategia,num_calculos,vpl_medio,vpl_desvio,eficiencia_media
Aleatoria + BL,35750,30660279.933333334,154066.19244034906,0.9530444014649313
Aleatoria + BL,36000,30660279.933333334,154066.19244034906,0.9530444014649313
Aleatoria + BL,36250,30660290.866666667,154062.65617499666,0.9530447413167573
Aleatoria + BL,36500,30660550.333333332,154341.3852020748,0.9530528065808244
Aleatoria + BL,36750,30660550.333333332,154341.3852020748,0.9530528065808244
Aleatoria + BL,37000,30660834.733333334,153760.82303344962,0.9530616468728363
Aleatoria + BL,37250,30660834.733333334,153760.82303344962,0.9530616468728363
Aleatoria + BL,37500,30660834.733333334,153760.82303344962,0.9530616468728363
Aleatoria + BL,37750,30660834.733333334,153760.82303344962,0.9530616468728363
Aleatoria + BL,38000,30661104.2,153216.02140731143,0.9530700229769882
Aleatoria + BL,38250,30661474.133333333,153449.21060676101,0.9530815219878588
Aleatoria + BL,38500,30661738.666666668,153622.98549727263,0.9530897447442356
Aleatoria + BL,38750,30662103.533333335,153873.54213948667,0.9531010862627965
Aleatoria + BL,39000,30662733.066666666,154335.3149423436,0.9531206546822686
Aleatoria + BL,39250,30662733.066666666,154335.3149423436,0.9531206546822686
Aleatoria + BL,39500,30662733.066666666,154335.3149423436,0.9531206546822686
Aleatoria + BL,39750,30662916.733333334,154453.6284323674,0.9531263637784929
Aleatoria + BL,40000,30662916.733333334,154453.6284323674,0.9531263637784929
Aleatoria + BL,40250,30663201.4,154331.82602838968,0.9531352123595737
Aleatoria + BL,40500,30663910.8,153939.83804451473,0.9531572633551899
Aleatoria + BL,40750,30663910.8,153939.83804451473,0.9531572633551899
Aleatoria + BL,41000,30664114.4,153869.51200091589,0.9531635920593164
Aleatoria + BL,41250,30664114.4,153869.51200091589,0.9531635920593164
Aleatoria + BL,41500,30664775.6,153750.49783464117,0.9531841448057239
Aleatoria + BL,41750,30664775.6,153750.49783464117,0.9531841448057239
Aleatoria + BL,42000,30664775.6,153750.49783464117,0.9531841448057239
Aleatoria + BL,42250,30664819.4,153673.61153794194,0.9531855062852953
Aleatoria + BL,42500,30664819.4,153673.61153794194,0.9531855062852953
Aleatoria + BL,42750,30665304.066666666,152832.81755867688,0.9532005716680723
Aleatoria + BL,43000,30665304.066666666,152832.81755867688,0.9532005716680723
Aleatoria + BL,43250,30665344.0,152793.0143789303,0.9532018129561443
Aleatoria + BL,43500,30665344.0,152793.0143789303,0.9532018129561443
Aleatoria + BL,43750,30665344.0,152793.0143789303,0.9532018129561443
Aleatoria + BL,44000,30665344.0,152793.0143789303,0.9532018129561443
Aleatoria + BL,44250,30665344.0,152793.0143789303,0.9532018129561443
Aleatoria + BL,44500,30665344.0,152793.0143789303,0.9532018129561443
Aleatoria + BL,44750,30665344.0,152793.0143789303,0.9532018129561443
Aleatoria + BL,45000,30665344.0,152793.0143789303,0.9532018129561443
Aleatoria + BL,45250,30665344.0,152793.0143789303,0.9532018129561443
Aleatoria + BL,45500,30665344.0,152793.0143789303,0.9532018129561443
Aleatoria + BL,45750,30665344.0,152793.0143789303,0.9532018129561443
Aleatoria + BL,46000,30666381.8,153540.32908476243,0.9532340719401454
Aleatoria + BL,46250,30666565.4,153358.76222290937,0.9532397789641024
Aleatoria + BL,46500,30666565.4,153358.76222290937,0.9532397789641024
Aleatoria + BL,46750,30666565.4,153358.76222290937,0.9532397789641024
